beat,date,crimes
834,01/06/2016,54
1214,01/06/2016,44
222,01/06/2016,34
915,01/06/2016,22
1014,01/06/2016,39
512,01/06/2016,51
1923,01/06/2016,21
1124,01/06/2016,25
914,01/06/2016,21
723,01/06/2016,41
722,01/06/2016,21
711,01/06/2016,28
1135,01/06/2016,38
331,01/06/2016,38
726,01/06/2016,29
1034,01/06/2016,31
2024,01/06/2016,19
713,01/06/2016,30
1713,01/06/2016,22
1424,01/06/2016,38
2012,01/06/2016,15
724,01/06/2016,27
832,01/06/2016,31
1022,01/06/2016,39
411,01/06/2016,26
1623,01/06/2016,24
712,01/06/2016,46
1211,01/06/2016,33
2432,01/06/2016,19
533,01/06/2016,36
735,01/02/2013,49
724,01/02/2016,22
1431,01/06/2016,20
1911,01/04/2016,19
2512,01/10/2016,41
611,01/06/2016,35
2033,01/09/2016,7
523,01/01/2013,77
735,01/11/2016,35
1413,01/01/2016,23
1523,01/06/2016,41
1532,01/06/2016,40
322,01/06/2016,38
1421,01/01/2014,30
1821,01/06/2016,30
1235,01/06/2016,16
2433,01/01/2014,31
1523,01/01/2016,40
822,01/02/2016,34
1831,01/01/2016,60
122,01/01/2016,68
732,01/06/2016,16
714,01/06/2016,19
811,01/06/2016,28
1132,01/06/2016,69
434,01/06/2016,19
1212,01/06/2016,29
1822,01/06/2016,36
1914,01/06/2016,28
1624,01/06/2016,35
813,01/06/2016,44
621,01/06/2016,54
1632,01/06/2016,27
1013,01/06/2016,35
1814,01/06/2016,31
233,01/06/2016,22
2523,01/06/2016,18
1933,01/06/2016,23
224,01/06/2016,18
1421,01/06/2016,34
133,01/06/2016,31
1213,01/06/2016,28
731,01/06/2016,34
523,01/06/2016,50
631,01/06/2016,30
933,01/06/2016,23
1651,01/01/2016,18
531,01/06/2016,35
333,01/06/2016,14
2211,01/06/2016,16
821,01/06/2016,25
1813,01/06/2016,8
2522,01/06/2016,24
431,01/06/2016,42
221,01/06/2016,20
633,01/06/2016,23
234,01/06/2016,32
1221,01/06/2016,22
1921,01/06/2016,17
2033,01/06/2016,12
2232,01/06/2016,37
2223,01/06/2016,39
121,01/06/2016,24
1921,01/10/2016,27
1511,01/11/2016,26
2221,01/02/2016,35
1824,01/07/2016,30
1111,01/07/2016,36
1924,01/07/2016,47
2512,01/07/2016,42
1632,01/07/2016,26
213,01/07/2016,30
1731,01/07/2016,41
923,01/07/2016,31
2521,01/07/2016,52
1133,01/07/2016,45
1522,01/07/2016,64
432,01/07/2016,32
1021,01/07/2016,47
1823,01/07/2016,16
1123,01/07/2016,35
1113,01/07/2016,43
211,01/07/2016,20
1422,01/07/2016,30
1434,01/07/2016,34
1812,01/07/2016,19
1533,01/07/2016,56
1833,01/07/2016,57
2535,01/07/2016,49
823,01/07/2016,47
812,01/07/2016,23
114,01/07/2016,28
1623,01/07/2016,32
1011,01/07/2016,63
2532,01/07/2016,37
421,01/07/2016,62
513,01/07/2016,34
523,01/07/2016,39
312,01/07/2016,33
132,01/07/2016,31
1234,01/07/2016,25
1024,01/07/2016,42
723,01/07/2016,39
123,01/07/2016,52
1935,01/07/2016,29
725,01/07/2016,40
1423,01/07/2016,25
2011,01/07/2016,32
323,01/07/2016,48
332,01/07/2016,34
735,01/07/2016,33
2531,01/07/2016,26
2422,01/07/2016,36
722,01/07/2016,23
2432,01/07/2016,35
1821,01/07/2016,36
632,01/07/2016,59
511,01/07/2016,80
333,01/07/2016,25
1215,01/07/2016,34
313,01/07/2016,27
633,01/07/2016,33
1613,01/07/2016,17
1121,01/07/2016,56
832,01/07/2016,43
1112,01/07/2016,57
1412,01/07/2016,19
621,01/07/2016,56
624,01/07/2016,56
614,01/07/2016,33
1723,01/07/2016,40
1424,01/07/2016,45
1231,01/07/2016,23
1523,01/07/2016,47
734,01/07/2016,29
1124,01/07/2016,25
1513,01/07/2016,32
2213,01/07/2016,17
1214,01/07/2016,28
623,01/07/2016,39
1223,01/07/2016,43
111,01/07/2016,59
2024,01/07/2016,6
433,01/07/2016,38
1122,01/07/2016,37
1634,01/07/2016,35
2534,01/07/2016,44
631,01/07/2016,35
522,01/07/2016,49
233,01/07/2016,25
1433,01/07/2016,33
1531,01/07/2016,46
824,01/07/2016,35
2221,01/07/2016,21
1713,01/07/2016,25
612,01/07/2016,65
1411,01/07/2016,22
1733,01/07/2016,26
835,01/07/2016,47
1212,01/07/2016,22
223,01/07/2016,29
911,01/07/2016,21
2523,01/07/2016,16
1914,01/07/2016,25
1722,01/07/2016,34
1932,01/07/2016,23
1913,01/07/2016,27
1213,01/07/2016,28
932,01/07/2016,30
2234,01/07/2016,33
715,01/07/2016,19
733,01/07/2016,36
622,01/07/2016,37
711,01/07/2016,37
726,01/07/2016,37
